taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0691;0;FALSE;FALSE;FALSE;FALSE
Otu0693;0;FALSE;FALSE;FALSE;FALSE
Otu0695;0;FALSE;FALSE;FALSE;FALSE
Otu0700;0;FALSE;FALSE;FALSE;FALSE
Otu0707;0;FALSE;FALSE;FALSE;FALSE
Otu0710;0;FALSE;FALSE;FALSE;FALSE
Otu0714;0;FALSE;FALSE;FALSE;FALSE
Otu0716;0;FALSE;FALSE;FALSE;FALSE
Otu0721;0;FALSE;FALSE;FALSE;FALSE
Otu0722;0;FALSE;FALSE;FALSE;FALSE
Otu0724;Inf;TRUE;TRUE;TRUE;TRUE
Otu0730;0;FALSE;FALSE;FALSE;FALSE
Otu0734;0;FALSE;FALSE;FALSE;FALSE
Otu0736;0;FALSE;FALSE;FALSE;FALSE
Otu0750;0;FALSE;FALSE;FALSE;FALSE
Otu0762;0;FALSE;FALSE;FALSE;FALSE
Otu0765;Inf;TRUE;TRUE;TRUE;TRUE
Otu0777;Inf;TRUE;TRUE;TRUE;TRUE
Otu0778;0;FALSE;FALSE;FALSE;FALSE
Otu0780;0;FALSE;FALSE;FALSE;FALSE
Otu0781;0;FALSE;FALSE;FALSE;FALSE
Otu0784;0;FALSE;FALSE;FALSE;FALSE
Otu0787;0;FALSE;FALSE;FALSE;FALSE
Otu0788;0;FALSE;FALSE;FALSE;FALSE
Otu0793;0;FALSE;FALSE;FALSE;FALSE
Otu0797;0;FALSE;FALSE;FALSE;FALSE
Otu0798;0;FALSE;FALSE;FALSE;FALSE
Otu0799;0;FALSE;FALSE;FALSE;FALSE
Otu0802;Inf;TRUE;TRUE;TRUE;TRUE
Otu0804;0;FALSE;FALSE;FALSE;FALSE
Otu0805;0;FALSE;FALSE;FALSE;FALSE
Otu0807;0;FALSE;FALSE;FALSE;FALSE
Otu0814;0;FALSE;FALSE;FALSE;FALSE
Otu0815;0;FALSE;FALSE;FALSE;FALSE
Otu0821;Inf;TRUE;TRUE;TRUE;TRUE
Otu0831;Inf;TRUE;TRUE;TRUE;TRUE
Otu0838;Inf;TRUE;TRUE;TRUE;TRUE
Otu0849;0;FALSE;FALSE;FALSE;FALSE
Otu0850;0;FALSE;FALSE;FALSE;FALSE
Otu0851;0;FALSE;FALSE;FALSE;FALSE
Otu0856;0;FALSE;FALSE;FALSE;FALSE
Otu0861;0;FALSE;FALSE;FALSE;FALSE
Otu0864;0;FALSE;FALSE;FALSE;FALSE
Otu0868;0;FALSE;FALSE;FALSE;FALSE
Otu0876;Inf;TRUE;TRUE;TRUE;TRUE
Otu0881;Inf;TRUE;TRUE;TRUE;TRUE
Otu0882;0;FALSE;FALSE;FALSE;FALSE
Otu0886;0;FALSE;FALSE;FALSE;FALSE
Otu0895;0;FALSE;FALSE;FALSE;FALSE
Otu0899;Inf;TRUE;TRUE;TRUE;TRUE
Otu0902;Inf;TRUE;TRUE;TRUE;TRUE
Otu0931;0;FALSE;FALSE;FALSE;FALSE
Otu0933;0;FALSE;FALSE;FALSE;FALSE
Otu0936;0;FALSE;FALSE;FALSE;FALSE
Otu0941;0;FALSE;FALSE;FALSE;FALSE
Otu0943;Inf;TRUE;TRUE;TRUE;TRUE
Otu0947;Inf;TRUE;TRUE;TRUE;TRUE
Otu0949;Inf;TRUE;TRUE;TRUE;TRUE
Otu0950;0;FALSE;FALSE;FALSE;FALSE
Otu0961;0;FALSE;FALSE;FALSE;FALSE
Otu0962;Inf;TRUE;TRUE;TRUE;TRUE
Otu0967;0;FALSE;FALSE;FALSE;FALSE
Otu0982;Inf;TRUE;TRUE;TRUE;TRUE
Otu0988;Inf;TRUE;TRUE;TRUE;TRUE
Otu0989;0;FALSE;FALSE;FALSE;FALSE
Otu0992;Inf;TRUE;TRUE;TRUE;TRUE
Otu0994;0;FALSE;FALSE;FALSE;FALSE
Otu1004;0;FALSE;FALSE;FALSE;FALSE
Otu1007;Inf;TRUE;TRUE;TRUE;TRUE
Otu1012;0;FALSE;FALSE;FALSE;FALSE
Otu1020;0;FALSE;FALSE;FALSE;FALSE
Otu1022;0;FALSE;FALSE;FALSE;FALSE
Otu1026;0;FALSE;FALSE;FALSE;FALSE
Otu1029;Inf;TRUE;TRUE;TRUE;TRUE
Otu1032;0;FALSE;FALSE;FALSE;FALSE
Otu1033;Inf;TRUE;TRUE;TRUE;TRUE
Otu1037;Inf;TRUE;TRUE;TRUE;TRUE
Otu1039;0;FALSE;FALSE;FALSE;FALSE
